ozone,particullate_matter,carbon_monoxide,sulfure_dioxide,nitrogen_dioxide,longitude,latitude,timestamp,Formatted Address
101,94,49,44,87,10.104986076057457,56.23172069428216,2014-08-01 00:05:00,"Sigma 2, 8382 Hinnerup, Denmark"
106,97,48,47,86,10.104986076057457,56.23172069428216,2014-08-01 00:10:00,"Sigma 2, 8382 Hinnerup, Denmark"
107,95,49,42,85,10.104986076057457,56.23172069428216,2014-08-01 00:15:00,"Sigma 2, 8382 Hinnerup, Denmark"
103,90,51,44,87,10.104986076057457,56.23172069428216,2014-08-01 00:20:00,"Sigma 2, 8382 Hinnerup, Denmark"
105,94,49,39,82,10.104986076057457,56.23172069428216,2014-08-01 00:25:00,"Sigma 2, 8382 Hinnerup, Denmark"
106,92,48,42,77,10.104986076057457,56.23172069428216,2014-08-01 00:30:00,"Sigma 2, 8382 Hinnerup, Denmark"
110,87,50,40,81,10.104986076057457,56.23172069428216,2014-08-01 00:35:00,"Sigma 2, 8382 Hinnerup, Denmark"
106,91,52,36,82,10.104986076057457,56.23172069428216,2014-08-01 00:40:00,"Sigma 2, 8382 Hinnerup, Denmark"
106,88,50,40,85,10.104986076057457,56.23172069428216,2014-08-01 00:45:00,"Sigma 2, 8382 Hinnerup, Denmark"
110,90,48,42,82,10.104986076057457,56.23172069428216,2014-08-01 00:50:00,"Sigma 2, 8382 Hinnerup, Denmark"
115,91,48,38,82,10.104986076057457,56.23172069428216,2014-08-01 00:55:00,"Sigma 2, 8382 Hinnerup, Denmark"
114,88,45,42,81,10.104986076057457,56.23172069428216,2014-08-01 01:00:00,"Sigma 2, 8382 Hinnerup, Denmark"
118,91,44,43,81,10.104986076057457,56.23172069428216,2014-08-01 01:05:00,"Sigma 2, 8382 Hinnerup, Denmark"
113,89,49,48,81,10.104986076057457,56.23172069428216,2014-08-01 01:10:00,"Sigma 2, 8382 Hinnerup, Denmark"
114,90,50,49,79,10.104986076057457,56.23172069428216,2014-08-01 01:15:00,"Sigma 2, 8382 Hinnerup, Denmark"
115,86,49,52,76,10.104986076057457,56.23172069428216,2014-08-01 01:20:00,"Sigma 2, 8382 Hinnerup, Denmark"
115,87,50,47,73,10.104986076057457,56.23172069428216,2014-08-01 01:25:00,"Sigma 2, 8382 Hinnerup, Denmark"
120,84,51,44,72,10.104986076057457,56.23172069428216,2014-08-01 01:30:00,"Sigma 2, 8382 Hinnerup, Denmark"
120,83,46,42,76,10.104986076057457,56.23172069428216,2014-08-01 01:35:00,"Sigma 2, 8382 Hinnerup, Denmark"
115,88,42,47,73,10.104986076057457,56.23172069428216,2014-08-01 01:40:00,"Sigma 2, 8382 Hinnerup, Denmark"
110,86,43,42,70,10.104986076057457,56.23172069428216,2014-08-01 01:45:00,"Sigma 2, 8382 Hinnerup, Denmark"
108,83,46,42,65,10.104986076057457,56.23172069428216,2014-08-01 01:50:00,"Sigma 2, 8382 Hinnerup, Denmark"
107,82,47,45,60,10.104986076057457,56.23172069428216,2014-08-01 01:55:00,"Sigma 2, 8382 Hinnerup, Denmark"
102,80,49,40,63,10.104986076057457,56.23172069428216,2014-08-01 02:00:00,"Sigma 2, 8382 Hinnerup, Denmark"
101,84,50,36,68,10.104986076057457,56.23172069428216,2014-08-01 02:05:00,"Sigma 2, 8382 Hinnerup, Denmark"
104,79,53,32,70,10.104986076057457,56.23172069428216,2014-08-01 02:10:00,"Sigma 2, 8382 Hinnerup, Denmark"
101,74,48,30,72,10.104986076057457,56.23172069428216,2014-08-01 02:15:00,"Sigma 2, 8382 Hinnerup, Denmark"
96,74,43,34,69,10.104986076057457,56.23172069428216,2014-08-01 02:20:00,"Sigma 2, 8382 Hinnerup, Denmark"
96,79,42,31,71,10.104986076057457,56.23172069428216,2014-08-01 02:25:00,"Sigma 2, 8382 Hinnerup, Denmark"
100,80,42,29,74,10.104986076057457,56.23172069428216,2014-08-01 02:30:00,"Sigma 2, 8382 Hinnerup, Denmark"
104,83,44,30,75,10.104986076057457,56.23172069428216,2014-08-01 02:35:00,"Sigma 2, 8382 Hinnerup, Denmark"
102,86,45,34,73,10.104986076057457,56.23172069428216,2014-08-01 02:40:00,"Sigma 2, 8382 Hinnerup, Denmark"
99,91,50,39,69,10.104986076057457,56.23172069428216,2014-08-01 02:45:00,"Sigma 2, 8382 Hinnerup, Denmark"
101,93,51,35,64,10.104986076057457,56.23172069428216,2014-08-01 02:50:00,"Sigma 2, 8382 Hinnerup, Denmark"
104,90,53,39,62,10.104986076057457,56.23172069428216,2014-08-01 02:55:00,"Sigma 2, 8382 Hinnerup, Denmark"
108,89,56,37,58,10.104986076057457,56.23172069428216,2014-08-01 03:00:00,"Sigma 2, 8382 Hinnerup, Denmark"
104,88,52,33,54,10.104986076057457,56.23172069428216,2014-08-01 03:05:00,"Sigma 2, 8382 Hinnerup, Denmark"
104,91,48,31,52,10.104986076057457,56.23172069428216,2014-08-01 03:10:00,"Sigma 2, 8382 Hinnerup, Denmark"
108,86,51,26,49,10.104986076057457,56.23172069428216,2014-08-01 03:15:00,"Sigma 2, 8382 Hinnerup, Denmark"
108,85,53,25,52,10.104986076057457,56.23172069428216,2014-08-01 03:20:00,"Sigma 2, 8382 Hinnerup, Denmark"
104,89,52,29,51,10.104986076057457,56.23172069428216,2014-08-01 03:25:00,"Sigma 2, 8382 Hinnerup, Denmark"
100,87,49,30,50,10.104986076057457,56.23172069428216,2014-08-01 03:30:00,"Sigma 2, 8382 Hinnerup, Denmark"
104,82,45,29,50,10.104986076057457,56.23172069428216,2014-08-01 03:35:00,"Sigma 2, 8382 Hinnerup, Denmark"
105,82,43,27,45,10.104986076057457,56.23172069428216,2014-08-01 03:40:00,"Sigma 2, 8382 Hinnerup, Denmark"
105,80,45,25,43,10.104986076057457,56.23172069428216,2014-08-01 03:45:00,"Sigma 2, 8382 Hinnerup, Denmark"
103,76,42,20,46,10.104986076057457,56.23172069428216,2014-08-01 03:50:00,"Sigma 2, 8382 Hinnerup, Denmark"
107,73,44,21,44,10.104986076057457,56.23172069428216,2014-08-01 03:55:00,"Sigma 2, 8382 Hinnerup, Denmark"
109,70,47,26,44,10.104986076057457,56.23172069428216,2014-08-01 04:00:00,"Sigma 2, 8382 Hinnerup, Denmark"
110,70,46,30,40,10.104986076057457,56.23172069428216,2014-08-01 04:05:00,"Sigma 2, 8382 Hinnerup, Denmark"
105,72,46,32,35,10.104986076057457,56.23172069428216,2014-08-01 04:10:00,"Sigma 2, 8382 Hinnerup, Denmark"
100,69,41,27,38,10.104986076057457,56.23172069428216,2014-08-01 04:15:00,"Sigma 2, 8382 Hinnerup, Denmark"
100,64,37,28,42,10.104986076057457,56.23172069428216,2014-08-01 04:20:00,"Sigma 2, 8382 Hinnerup, Denmark"
102,60,36,33,38,10.104986076057457,56.23172069428216,2014-08-01 04:25:00,"Sigma 2, 8382 Hinnerup, Denmark"
98,55,36,38,42,10.104986076057457,56.23172069428216,2014-08-01 04:30:00,"Sigma 2, 8382 Hinnerup, Denmark"
93,52,38,41,37,10.104986076057457,56.23172069428216,2014-08-01 04:35:00,"Sigma 2, 8382 Hinnerup, Denmark"
97,52,37,40,41,10.104986076057457,56.23172069428216,2014-08-01 04:40:00,"Sigma 2, 8382 Hinnerup, Denmark"
100,53,40,35,42,10.104986076057457,56.23172069428216,2014-08-01 04:45:00,"Sigma 2, 8382 Hinnerup, Denmark"
105,50,44,34,43,10.104986076057457,56.23172069428216,2014-08-01 04:50:00,"Sigma 2, 8382 Hinnerup, Denmark"
110,48,44,33,43,10.104986076057457,56.23172069428216,2014-08-01 04:55:00,"Sigma 2, 8382 Hinnerup, Denmark"
108,48,48,32,43,10.104986076057457,56.23172069428216,2014-08-01 05:00:00,"Sigma 2, 8382 Hinnerup, Denmark"
113,51,44,28,38,10.104986076057457,56.23172069428216,2014-08-01 05:05:00,"Sigma 2, 8382 Hinnerup, Denmark"
115,50,42,29,34,10.104986076057457,56.23172069428216,2014-08-01 05:10:00,"Sigma 2, 8382 Hinnerup, Denmark"
116,46,46,33,30,10.104986076057457,56.23172069428216,2014-08-01 05:15:00,"Sigma 2, 8382 Hinnerup, Denmark"
116,41,43,38,29,10.104986076057457,56.23172069428216,2014-08-01 05:20:00,"Sigma 2, 8382 Hinnerup, Denmark"
116,38,47,39,28,10.104986076057457,56.23172069428216,2014-08-01 05:25:00,"Sigma 2, 8382 Hinnerup, Denmark"
119,39,43,40,32,10.104986076057457,56.23172069428216,2014-08-01 05:30:00,"Sigma 2, 8382 Hinnerup, Denmark"
120,36,47,37,36,10.104986076057457,56.23172069428216,2014-08-01 05:35:00,"Sigma 2, 8382 Hinnerup, Denmark"
125,40,46,32,40,10.104986076057457,56.23172069428216,2014-08-01 05:40:00,"Sigma 2, 8382 Hinnerup, Denmark"
120,36,46,37,41,10.104986076057457,56.23172069428216,2014-08-01 05:45:00,"Sigma 2, 8382 Hinnerup, Denmark"
122,35,47,38,37,10.104986076057457,56.23172069428216,2014-08-01 05:50:00,"Sigma 2, 8382 Hinnerup, Denmark"
124,36,48,41,35,10.104986076057457,56.23172069428216,2014-08-01 05:55:00,"Sigma 2, 8382 Hinnerup, Denmark"
128,41,50,39,31,10.104986076057457,56.23172069428216,2014-08-01 06:00:00,"Sigma 2, 8382 Hinnerup, Denmark"
125,37,49,42,32,10.104986076057457,56.23172069428216,2014-08-01 06:05:00,"Sigma 2, 8382 Hinnerup, Denmark"
128,37,45,46,37,10.104986076057457,56.23172069428216,2014-08-01 06:10:00,"Sigma 2, 8382 Hinnerup, Denmark"
124,35,46,48,34,10.104986076057457,56.23172069428216,2014-08-01 06:15:00,"Sigma 2, 8382 Hinnerup, Denmark"
124,39,46,47,39,10.104986076057457,56.23172069428216,2014-08-01 06:20:00,"Sigma 2, 8382 Hinnerup, Denmark"
126,40,41,46,42,10.104986076057457,56.23172069428216,2014-08-01 06:25:00,"Sigma 2, 8382 Hinnerup, Denmark"
131,35,43,49,38,10.104986076057457,56.23172069428216,2014-08-01 06:30:00,"Sigma 2, 8382 Hinnerup, Denmark"
131,37,43,49,34,10.104986076057457,56.23172069428216,2014-08-01 06:35:00,"Sigma 2, 8382 Hinnerup, Denmark"
133,39,47,44,31,10.104986076057457,56.23172069428216,2014-08-01 06:40:00,"Sigma 2, 8382 Hinnerup, Denmark"
136,43,52,42,28,10.104986076057457,56.23172069428216,2014-08-01 06:45:00,"Sigma 2, 8382 Hinnerup, Denmark"
141,44,56,40,24,10.104986076057457,56.23172069428216,2014-08-01 06:50:00,"Sigma 2, 8382 Hinnerup, Denmark"
142,40,57,39,28,10.104986076057457,56.23172069428216,2014-08-01 06:55:00,"Sigma 2, 8382 Hinnerup, Denmark"
139,41,54,37,33,10.104986076057457,56.23172069428216,2014-08-01 07:00:00,"Sigma 2, 8382 Hinnerup, Denmark"
134,38,51,32,36,10.104986076057457,56.23172069428216,2014-08-01 07:05:00,"Sigma 2, 8382 Hinnerup, Denmark"
129,33,51,33,40,10.104986076057457,56.23172069428216,2014-08-01 07:10:00,"Sigma 2, 8382 Hinnerup, Denmark"
124,37,50,29,39,10.104986076057457,56.23172069428216,2014-08-01 07:15:00,"Sigma 2, 8382 Hinnerup, Denmark"
128,39,55,33,36,10.104986076057457,56.23172069428216,2014-08-01 07:20:00,"Sigma 2, 8382 Hinnerup, Denmark"
130,38,58,31,36,10.104986076057457,56.23172069428216,2014-08-01 07:25:00,"Sigma 2, 8382 Hinnerup, Denmark"
131,40,60,26,41,10.104986076057457,56.23172069428216,2014-08-01 07:30:00,"Sigma 2, 8382 Hinnerup, Denmark"
130,38,65,24,37,10.104986076057457,56.23172069428216,2014-08-01 07:35:00,"Sigma 2, 8382 Hinnerup, Denmark"
127,34,67,21,34,10.104986076057457,56.23172069428216,2014-08-01 07:40:00,"Sigma 2, 8382 Hinnerup, Denmark"
132,38,66,24,39,10.104986076057457,56.23172069428216,2014-08-01 07:45:00,"Sigma 2, 8382 Hinnerup, Denmark"
127,38,62,22,39,10.104986076057457,56.23172069428216,2014-08-01 07:50:00,"Sigma 2, 8382 Hinnerup, Denmark"
122,35,61,17,34,10.104986076057457,56.23172069428216,2014-08-01 07:55:00,"Sigma 2, 8382 Hinnerup, Denmark"
117,36,65,24,34,10.104986076057457,56.23172069428216,2014-08-01 08:00:00,"Sigma 2, 8382 Hinnerup, Denmark"
112,36,70,29,35,10.104986076057457,56.23172069428216,2014-08-01 08:05:00,"Sigma 2, 8382 Hinnerup, Denmark"
115,34,69,34,35,10.104986076057457,56.23172069428216,2014-08-01 08:10:00,"Sigma 2, 8382 Hinnerup, Denmark"
114,37,70,31,35,10.104986076057457,56.23172069428216,2014-08-01 08:15:00,"Sigma 2, 8382 Hinnerup, Denmark"
114,37,65,26,35,10.104986076057457,56.23172069428216,2014-08-01 08:20:00,"Sigma 2, 8382 Hinnerup, Denmark"
118,40,66,30,34,10.104986076057457,56.23172069428216,2014-08-01 08:25:00,"Sigma 2, 8382 Hinnerup, Denmark"
116,38,65,27,35,10.104986076057457,56.23172069428216,2014-08-01 08:30:00,"Sigma 2, 8382 Hinnerup, Denmark"
112,39,70,28,37,10.104986076057457,56.23172069428216,2014-08-01 08:35:00,"Sigma 2, 8382 Hinnerup, Denmark"
112,44,67,29,35,10.104986076057457,56.23172069428216,2014-08-01 08:40:00,"Sigma 2, 8382 Hinnerup, Denmark"
107,45,71,25,34,10.104986076057457,56.23172069428216,2014-08-01 08:45:00,"Sigma 2, 8382 Hinnerup, Denmark"
111,46,69,29,30,10.104986076057457,56.23172069428216,2014-08-01 08:50:00,"Sigma 2, 8382 Hinnerup, Denmark"
111,47,64,26,26,10.104986076057457,56.23172069428216,2014-08-01 08:55:00,"Sigma 2, 8382 Hinnerup, Denmark"
112,45,65,30,31,10.104986076057457,56.23172069428216,2014-08-01 09:00:00,"Sigma 2, 8382 Hinnerup, Denmark"
112,43,62,35,32,10.104986076057457,56.23172069428216,2014-08-01 09:05:00,"Sigma 2, 8382 Hinnerup, Denmark"
108,46,63,40,30,10.104986076057457,56.23172069428216,2014-08-01 09:10:00,"Sigma 2, 8382 Hinnerup, Denmark"
107,42,59,38,26,10.104986076057457,56.23172069428216,2014-08-01 09:15:00,"Sigma 2, 8382 Hinnerup, Denmark"
102,45,61,37,24,10.104986076057457,56.23172069428216,2014-08-01 09:20:00,"Sigma 2, 8382 Hinnerup, Denmark"
97,42,61,35,28,10.104986076057457,56.23172069428216,2014-08-01 09:25:00,"Sigma 2, 8382 Hinnerup, Denmark"
92,44,59,32,29,10.104986076057457,56.23172069428216,2014-08-01 09:30:00,"Sigma 2, 8382 Hinnerup, Denmark"
87,41,60,27,30,10.104986076057457,56.23172069428216,2014-08-01 09:35:00,"Sigma 2, 8382 Hinnerup, Denmark"
84,45,64,29,31,10.104986076057457,56.23172069428216,2014-08-01 09:40:00,"Sigma 2, 8382 Hinnerup, Denmark"
89,50,65,28,34,10.104986076057457,56.23172069428216,2014-08-01 09:45:00,"Sigma 2, 8382 Hinnerup, Denmark"
88,52,62,33,32,10.104986076057457,56.23172069428216,2014-08-01 09:50:00,"Sigma 2, 8382 Hinnerup, Denmark"
90,54,65,35,29,10.104986076057457,56.23172069428216,2014-08-01 09:55:00,"Sigma 2, 8382 Hinnerup, Denmark"
85,53,61,37,32,10.104986076057457,56.23172069428216,2014-08-01 10:00:00,"Sigma 2, 8382 Hinnerup, Denmark"
