ozone,particullate_matter,carbon_monoxide,sulfure_dioxide,nitrogen_dioxide,longitude,latitude,timestamp,Formatted Address
103,81,33,31,40,10.116589665412905,56.22579478256016,2014-08-01 00:05:00,"Århusvej 80, 8382 Hinnerup, Denmark"
99,79,35,36,44,10.116589665412905,56.22579478256016,2014-08-01 00:10:00,"Århusvej 80, 8382 Hinnerup, Denmark"
102,80,33,36,47,10.116589665412905,56.22579478256016,2014-08-01 00:15:00,"Århusvej 80, 8382 Hinnerup, Denmark"
107,82,33,36,45,10.116589665412905,56.22579478256016,2014-08-01 00:20:00,"Århusvej 80, 8382 Hinnerup, Denmark"
102,84,28,38,42,10.116589665412905,56.22579478256016,2014-08-01 00:25:00,"Århusvej 80, 8382 Hinnerup, Denmark"
103,82,29,42,41,10.116589665412905,56.22579478256016,2014-08-01 00:30:00,"Århusvej 80, 8382 Hinnerup, Denmark"
101,83,29,43,36,10.116589665412905,56.22579478256016,2014-08-01 00:35:00,"Århusvej 80, 8382 Hinnerup, Denmark"
98,80,28,39,36,10.116589665412905,56.22579478256016,2014-08-01 00:40:00,"Århusvej 80, 8382 Hinnerup, Denmark"
100,80,32,37,37,10.116589665412905,56.22579478256016,2014-08-01 00:45:00,"Århusvej 80, 8382 Hinnerup, Denmark"
105,80,37,39,35,10.116589665412905,56.22579478256016,2014-08-01 00:50:00,"Århusvej 80, 8382 Hinnerup, Denmark"
107,77,41,35,38,10.116589665412905,56.22579478256016,2014-08-01 00:55:00,"Århusvej 80, 8382 Hinnerup, Denmark"
111,75,43,32,38,10.116589665412905,56.22579478256016,2014-08-01 01:00:00,"Århusvej 80, 8382 Hinnerup, Denmark"
106,74,38,30,43,10.116589665412905,56.22579478256016,2014-08-01 01:05:00,"Århusvej 80, 8382 Hinnerup, Denmark"
108,75,39,27,43,10.116589665412905,56.22579478256016,2014-08-01 01:10:00,"Århusvej 80, 8382 Hinnerup, Denmark"
108,72,38,32,47,10.116589665412905,56.22579478256016,2014-08-01 01:15:00,"Århusvej 80, 8382 Hinnerup, Denmark"
107,74,37,29,49,10.116589665412905,56.22579478256016,2014-08-01 01:20:00,"Århusvej 80, 8382 Hinnerup, Denmark"
106,77,39,34,48,10.116589665412905,56.22579478256016,2014-08-01 01:25:00,"Århusvej 80, 8382 Hinnerup, Denmark"
101,75,43,31,49,10.116589665412905,56.22579478256016,2014-08-01 01:30:00,"Århusvej 80, 8382 Hinnerup, Denmark"
100,76,44,34,48,10.116589665412905,56.22579478256016,2014-08-01 01:35:00,"Århusvej 80, 8382 Hinnerup, Denmark"
101,78,44,32,44,10.116589665412905,56.22579478256016,2014-08-01 01:40:00,"Århusvej 80, 8382 Hinnerup, Denmark"
101,80,40,29,46,10.116589665412905,56.22579478256016,2014-08-01 01:45:00,"Århusvej 80, 8382 Hinnerup, Denmark"
96,85,39,30,47,10.116589665412905,56.22579478256016,2014-08-01 01:50:00,"Århusvej 80, 8382 Hinnerup, Denmark"
94,89,44,31,42,10.116589665412905,56.22579478256016,2014-08-01 01:55:00,"Århusvej 80, 8382 Hinnerup, Denmark"
98,94,43,35,46,10.116589665412905,56.22579478256016,2014-08-01 02:00:00,"Århusvej 80, 8382 Hinnerup, Denmark"
95,97,45,36,46,10.116589665412905,56.22579478256016,2014-08-01 02:05:00,"Århusvej 80, 8382 Hinnerup, Denmark"
95,93,45,39,46,10.116589665412905,56.22579478256016,2014-08-01 02:10:00,"Århusvej 80, 8382 Hinnerup, Denmark"
93,91,40,36,50,10.116589665412905,56.22579478256016,2014-08-01 02:15:00,"Århusvej 80, 8382 Hinnerup, Denmark"
89,87,42,32,55,10.116589665412905,56.22579478256016,2014-08-01 02:20:00,"Århusvej 80, 8382 Hinnerup, Denmark"
85,90,43,37,60,10.116589665412905,56.22579478256016,2014-08-01 02:25:00,"Århusvej 80, 8382 Hinnerup, Denmark"
82,94,43,36,55,10.116589665412905,56.22579478256016,2014-08-01 02:30:00,"Århusvej 80, 8382 Hinnerup, Denmark"
77,93,42,32,52,10.116589665412905,56.22579478256016,2014-08-01 02:35:00,"Århusvej 80, 8382 Hinnerup, Denmark"
75,96,47,27,47,10.116589665412905,56.22579478256016,2014-08-01 02:40:00,"Århusvej 80, 8382 Hinnerup, Denmark"
73,92,49,32,44,10.116589665412905,56.22579478256016,2014-08-01 02:45:00,"Århusvej 80, 8382 Hinnerup, Denmark"
68,91,48,31,45,10.116589665412905,56.22579478256016,2014-08-01 02:50:00,"Århusvej 80, 8382 Hinnerup, Denmark"
73,94,47,29,46,10.116589665412905,56.22579478256016,2014-08-01 02:55:00,"Århusvej 80, 8382 Hinnerup, Denmark"
71,97,47,30,41,10.116589665412905,56.22579478256016,2014-08-01 03:00:00,"Århusvej 80, 8382 Hinnerup, Denmark"
71,95,47,34,42,10.116589665412905,56.22579478256016,2014-08-01 03:05:00,"Århusvej 80, 8382 Hinnerup, Denmark"
66,94,51,34,43,10.116589665412905,56.22579478256016,2014-08-01 03:10:00,"Århusvej 80, 8382 Hinnerup, Denmark"
70,90,53,30,48,10.116589665412905,56.22579478256016,2014-08-01 03:15:00,"Århusvej 80, 8382 Hinnerup, Denmark"
68,86,48,27,50,10.116589665412905,56.22579478256016,2014-08-01 03:20:00,"Århusvej 80, 8382 Hinnerup, Denmark"
67,90,47,30,46,10.116589665412905,56.22579478256016,2014-08-01 03:25:00,"Århusvej 80, 8382 Hinnerup, Denmark"
63,91,43,25,44,10.116589665412905,56.22579478256016,2014-08-01 03:30:00,"Århusvej 80, 8382 Hinnerup, Denmark"
62,88,40,30,46,10.116589665412905,56.22579478256016,2014-08-01 03:35:00,"Århusvej 80, 8382 Hinnerup, Denmark"
57,86,44,25,41,10.116589665412905,56.22579478256016,2014-08-01 03:40:00,"Århusvej 80, 8382 Hinnerup, Denmark"
59,90,46,20,42,10.116589665412905,56.22579478256016,2014-08-01 03:45:00,"Århusvej 80, 8382 Hinnerup, Denmark"
62,86,47,16,37,10.116589665412905,56.22579478256016,2014-08-01 03:50:00,"Århusvej 80, 8382 Hinnerup, Denmark"
59,89,44,26,42,10.116589665412905,56.22579478256016,2014-08-01 03:55:00,"Århusvej 80, 8382 Hinnerup, Denmark"
61,88,39,25,47,10.116589665412905,56.22579478256016,2014-08-01 04:00:00,"Århusvej 80, 8382 Hinnerup, Denmark"
62,91,34,24,50,10.116589665412905,56.22579478256016,2014-08-01 04:05:00,"Århusvej 80, 8382 Hinnerup, Denmark"
59,91,32,21,48,10.116589665412905,56.22579478256016,2014-08-01 04:10:00,"Århusvej 80, 8382 Hinnerup, Denmark"
54,88,27,17,45,10.116589665412905,56.22579478256016,2014-08-01 04:15:00,"Århusvej 80, 8382 Hinnerup, Denmark"
50,93,25,25,47,10.116589665412905,56.22579478256016,2014-08-01 04:20:00,"Århusvej 80, 8382 Hinnerup, Denmark"
45,94,23,25,47,10.116589665412905,56.22579478256016,2014-08-01 04:25:00,"Århusvej 80, 8382 Hinnerup, Denmark"
50,90,26,28,43,10.116589665412905,56.22579478256016,2014-08-01 04:30:00,"Århusvej 80, 8382 Hinnerup, Denmark"
49,90,25,24,42,10.116589665412905,56.22579478256016,2014-08-01 04:35:00,"Århusvej 80, 8382 Hinnerup, Denmark"
48,92,28,27,46,10.116589665412905,56.22579478256016,2014-08-01 04:40:00,"Århusvej 80, 8382 Hinnerup, Denmark"
53,87,32,31,49,10.116589665412905,56.22579478256016,2014-08-01 04:45:00,"Århusvej 80, 8382 Hinnerup, Denmark"
52,85,29,29,45,10.116589665412905,56.22579478256016,2014-08-01 04:50:00,"Århusvej 80, 8382 Hinnerup, Denmark"
56,83,33,25,48,10.116589665412905,56.22579478256016,2014-08-01 04:55:00,"Århusvej 80, 8382 Hinnerup, Denmark"
51,80,31,25,52,10.116589665412905,56.22579478256016,2014-08-01 05:00:00,"Århusvej 80, 8382 Hinnerup, Denmark"
47,77,32,29,52,10.116589665412905,56.22579478256016,2014-08-01 05:05:00,"Århusvej 80, 8382 Hinnerup, Denmark"
45,77,33,29,54,10.116589665412905,56.22579478256016,2014-08-01 05:10:00,"Århusvej 80, 8382 Hinnerup, Denmark"
46,73,31,28,52,10.116589665412905,56.22579478256016,2014-08-01 05:15:00,"Århusvej 80, 8382 Hinnerup, Denmark"
51,75,36,33,55,10.116589665412905,56.22579478256016,2014-08-01 05:20:00,"Århusvej 80, 8382 Hinnerup, Denmark"
49,79,35,36,55,10.116589665412905,56.22579478256016,2014-08-01 05:25:00,"Århusvej 80, 8382 Hinnerup, Denmark"
46,76,30,39,52,10.116589665412905,56.22579478256016,2014-08-01 05:30:00,"Århusvej 80, 8382 Hinnerup, Denmark"
47,75,28,37,50,10.116589665412905,56.22579478256016,2014-08-01 05:35:00,"Århusvej 80, 8382 Hinnerup, Denmark"
52,72,23,38,45,10.116589665412905,56.22579478256016,2014-08-01 05:40:00,"Århusvej 80, 8382 Hinnerup, Denmark"
52,68,28,35,49,10.116589665412905,56.22579478256016,2014-08-01 05:45:00,"Århusvej 80, 8382 Hinnerup, Denmark"
55,67,32,36,50,10.116589665412905,56.22579478256016,2014-08-01 05:50:00,"Århusvej 80, 8382 Hinnerup, Denmark"
50,64,34,38,47,10.116589665412905,56.22579478256016,2014-08-01 05:55:00,"Århusvej 80, 8382 Hinnerup, Denmark"
46,67,33,40,43,10.116589665412905,56.22579478256016,2014-08-01 06:00:00,"Århusvej 80, 8382 Hinnerup, Denmark"
45,72,32,40,47,10.116589665412905,56.22579478256016,2014-08-01 06:05:00,"Århusvej 80, 8382 Hinnerup, Denmark"
48,69,32,39,47,10.116589665412905,56.22579478256016,2014-08-01 06:10:00,"Århusvej 80, 8382 Hinnerup, Denmark"
50,65,30,41,47,10.116589665412905,56.22579478256016,2014-08-01 06:15:00,"Århusvej 80, 8382 Hinnerup, Denmark"
54,63,28,42,42,10.116589665412905,56.22579478256016,2014-08-01 06:20:00,"Århusvej 80, 8382 Hinnerup, Denmark"
54,63,31,37,39,10.116589665412905,56.22579478256016,2014-08-01 06:25:00,"Århusvej 80, 8382 Hinnerup, Denmark"
58,67,35,37,40,10.116589665412905,56.22579478256016,2014-08-01 06:30:00,"Århusvej 80, 8382 Hinnerup, Denmark"
59,62,35,42,39,10.116589665412905,56.22579478256016,2014-08-01 06:35:00,"Århusvej 80, 8382 Hinnerup, Denmark"
